name,code,buy_date,buy_close,ret_1d,ret_5d,ret_20d,value_ratio_60d,value_eok,volume_ratio_60d,high_60,close_to_high60,close_to_day_high,rsi_14,above_ma5,above_ma20,above_ma60,c1_high_break,c2_vol_3x,c3_value_50eok,c4_strength_97,c5_ret_5_25,score_5_strict,score_relaxed,after_1d_max,after_5d_max,after_10d_max,after_20d_max,after_30d_max,after_60d_max
한전기술,052690,20250612,89700,0.25630252100840334,0.46808510638297873,0.4632952691680261,23.69286882684698,6923.244237,19.493896397882992,92800,0.9665948275862069,0.9665948275862069,79.48717948717949,True,True,True,False,True,True,False,False,2,4,0.16053511705685608,0.27090301003344486,0.28205128205128216,0.28205128205128216,0.28205128205128216,
한진중공업,002320,20250612,20700,-0.007194244604316502,-0.016627078384798155,0.024752475247524774,1.542659376349096,8.439183,1.4828173371797895,21700,0.9539170506912442,0.9857142857142858,60.82004555808656,False,True,True,False,False,False,True,False,1,1,-0.02898550724637683,-0.021739130434782594,-0.01449275362318836,0.0531400966183575,0.10386473429951693,
예림당,036000,20250611,4040,0.22983257229832565,0.39792387543252605,0.6160000000000001,29.972433813591504,229.0661416,24.751496451820188,4270,0.9461358313817331,0.9461358313817331,93.0909090909091,True,True,True,False,True,True,False,True,3,4,0.022277227722772297,0.022277227722772297,0.14480198019801982,0.19306930693069302,0.19306930693069302,
LS마린솔루션,060370,20250609,22775,0.26894361488745266,0.4416381820483606,0.4313097033685269,16.98053657076595,966.39176075,13.038583676715488,23257,0.9792750569720944,0.9792750569720944,68.4161977677336,True,True,True,False,True,True,True,False,3,4,0.09826564215148181,0.16184412733260145,0.2504939626783753,0.424807903402854,0.424807903402854,
대동기어,008830,20250207,19490,0.26476314081765095,0.3619846261355695,0.3036789297658864,6.232351025059482,2601.460883,4.647872689061399,19960,0.9764529058116233,0.9764529058116233,64.32078559738133,True,True,True,False,True,True,True,False,3,4,-0.021036428937916907,0.27501282709081587,0.27501282709081587,0.3801949717804003,0.3801949717804003,
대주산업,003310,20250228,1643,0.11013513513513518,0.08592200925313942,0.07385620915032676,34.68737601414813,177.30427928,32.99294067291377,1728,0.9508101851851852,0.9508101851851852,65.84022038567494,True,True,True,False,True,True,False,True,3,4,0.06634205721241626,0.09007912355447356,0.09007912355447356,0.09007912355447356,0.7194157029823494,
대주산업,003310,20250404,2040,0.18604651162790709,0.21212121212121215,0.19089316987740812,11.372281164444475,305.0061324,9.847523018424125,2140,0.9532710280373832,0.9532710280373832,63.48717948717948,True,True,True,False,True,True,False,True,3,4,0.11764705882352944,0.3848039215686274,0.3848039215686274,0.625,0.625,
한화오션,042660,20250117,50700,-0.01553398058252431,0.1266666666666667,0.5696594427244581,1.1574204645714086,2543.3148,0.8731165197440459,51700,0.9806576402321083,0.9806576402321083,87.75510204081633,True,True,True,False,False,True,True,False,2,2,0.021696252465483346,0.11834319526627213,0.21696252465483234,0.542406311637081,0.6785009861932938,
현대로템,064350,20250206,71500,0.17021276595744683,0.20777027027027017,0.375,5.88772056798434,6319.086345,4.716663007649496,73000,0.9794520547945206,0.9794520547945206,79.70479704797049,True,True,True,False,True,True,True,True,4,4,0.11328671328671325,0.13706293706293704,0.25454545454545463,0.2727272727272727,0.5734265734265733,
두산에너빌리티,034020,20251010,74500,0.14969135802469147,0.18066561014263072,0.2055016181229774,3.073735664413127,14380.21946,2.627213410183763,74800,0.9959893048128342,0.9959893048128342,78.54545454545455,True,True,True,False,False,True,True,True,3,3,0.041610738255033475,0.12348993288590604,0.12348993288590604,0.2939597315436242,0.2939597315436242,
일신석재,007110,20250605,2655,0.18791946308724827,0.2464788732394365,0.15434782608695663,16.448748040304622,2276.86882005,14.265517751031025,2875,0.9234782608695652,0.9234782608695652,73.86363636363636,True,True,True,False,True,True,False,True,3,4,0.005649717514124353,0.030131826741996326,0.030131826741996326,0.030131826741996326,0.030131826741996326,
